#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Haigst;Haigst;165;de:08111:165;8111000;Stuttgart;Stuttgart;S;1,10,20;"Bus;Zahnradbahn";10;21010_,30033_;2;21,3;9,17225281;48,75506372
Nägelestraße;Nägelestraße;341;de:08111:341;8111000;Stuttgart;Stuttgart;S;20,1;Zahnradbahn;10;21010_;1;21;9,173573255;48,75149174
Wielandshöhe;Wielandshöhe;342;de:08111:342;8111000;Stuttgart;Stuttgart;S;10,1;"Bus;Zahnradbahn";10;21010_,30033_;2;21,3;9,170234055;48,75731483
Pfaffenweg;Pfaffenweg;343;de:08111:343;8111000;Stuttgart;Stuttgart;S;10,1;"Bus;Zahnradbahn";10;21010_,30033_;2;21,3;9,168161047;48,7596649
Liststraße;Liststraße;344;de:08111:344;8111000;Stuttgart;Stuttgart;S;10,1;"Bus;Zahnradbahn";10;21010_,30033_;2;21,3;9,168509889;48,76229017
Kath. Kindergarten;Lorch Kath. Kindergarten;33379;de:08136:7016;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,686003048;48,79881168
Ev. Kindergarten;Lorch Ev. Kindergarten;33380;de:08136:7012;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,687351004;48,79883961
Dürerweg;Lorch Dürerweg;33381;de:08136:7011;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,680800874;48,80064103
Noldeweg;Lorch Noldeweg;33382;de:08136:7003;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,678910595;48,80279238
Beethovenstraße;Lorch Beethovenstr.;33383;de:08136:7006;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,67641309;48,80232149
Beethovenstraße 35;Lorch Beethovenstr. 35;33384;de:08136:7007;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,677125952;48,80067169
Beethovenstraße Abzw.;Lorch Beethovenstr. Abzw.;33385;de:08136:7008;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,678935287;48,79958195
Sonnenweg;Lorch Sonnenweg;33386;de:08136:7020;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,689687582;48,80246757
Bergstraße;Lorch Bergstraße;33387;de:08136:7009;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,686101341;48,8040177
Rebhuhnweg;Lorch Rebhuhnweg;33388;de:08136:7019;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,687676137;48,80568989
Auf dem Bühl;Lorch Auf dem Bühl;33389;de:08136:7004;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,688318575;48,80687305
Hochhaus;Lorch Hochhaus;33390;de:08136:7015;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,690362068;48,80400123
Panoramastraße;Lorch Panoramastr.;33391;de:08136:7018;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,687343166;48,80224778
Am Kreuzwiesle;Lorch Am Kreuzwiesle;33392;de:08136:7043;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,680230688;48,79572555
Remsstraße;Lorch Remsstraße;33393;de:08136:7047;8136042;Lorch;Lorch;AA;5;Bus;14;74014_;1;74;9,683967883;48,79629691
Waldfriedhof;Waldfriedhof;6102;de:08111:6102;8111000;Stuttgart;Stuttgart;S;10,1;Seilbahn;20;21020_;1;21;9,145491924;48,75166564
Geibelstraße;Geibelstraße;2408;de:08111:2408;8111000;Stuttgart;Stuttgart;S;1,1;Bus;40,5;30040_,30050_;2;30;9,142149272;48,78141666
Nikolauspflege;Nikolauspflege;2452;de:08111:2452;8111000;Stuttgart;Stuttgart;S;1,1;Bus;40,5;30040_,30050_;2;30;9,138169363;48,77900257
Eiernest;Eiernest;6098;de:08111:6098;8111000;Stuttgart;Stuttgart;S;10,1;Bus;41;30041_;1;30;9,159272625;48,75750141
Mörikestraße;Mörikestraße;2409;de:08111:2409;8111000;Stuttgart;Stuttgart;S;1,1;Bus;41,43;30041_,30043_;2;30;9,168910802;48,76825154
Marien-/Silberburgstraße;Marien-/Silberburgstraße;2410;de:08111:2410;8111000;Stuttgart;Stuttgart;S;1,1;Bus;41,43;30041_,30043_;2;30;9,16928501;48,77030125
Straußstaffel;Straußstaffel;2311;de:08111:2311;8111000;Stuttgart;Stuttgart;S;10,1;Bus;42;30042_;1;30;9,199806848;48,77914568
Viktor-Köchl-Weg;Viktor-Köchl-Weg;2191;de:08111:2191;8111000;Stuttgart;Stuttgart;S;1,1;Bus;43;30043_;1;30;9,15511076;48,78827004
Schottstraße;Schottstraße;2192;de:08111:2192;8111000;Stuttgart;Stuttgart;S;1,1;Bus;43;30043_;1;30;9,159758161;48,79039486
Ehrenhalde;Ehrenhalde;2193;de:08111:2193;8111000;Stuttgart;Stuttgart;S;1,1;Bus;43;30043_;1;30;9,16037568;48,78773226
Dillmannstraße;Dillmannstraße;2194;de:08111:2194;8111000;Stuttgart;Stuttgart;S;1,1;Bus;43;30043_;1;30;9,16046743;48,78663506
Hölderlinstraße;Hölderlinstraße;2195;de:08111:2195;8111000;Stuttgart;Stuttgart;S;1,1;Bus;43;30043_;1;30;9,166206143;48,78541293
Oskar-Schlemmer-Straße;Oskar-Schlemmer-Straße;2236;de:08111:2236;8111000;Stuttgart;Stuttgart;S;1,1;Bus;43;30043_;1;30;9,17322732;48,80099529
